german,english1,english2
Sie verschmähten unsere Versuche zur Versöhnung .,They scorned our attempts at reconciliation .,They disdained our attempts for reconciliation .
Verabrede dich mit ihm !,Make an appointment with him .,Make a date with him !
Sie haben nichts zu essen .,They have nothing to eat .,You have nothing to eat .
Maria langweilte sich zu Tode .,Mary was bored out of her mind .,Mary was bored to death .
Ich habe Ihre Nachricht erhalten .,I received your message .,I got your message .
Es ist etwas Wahres daran .,There is some truth to this .,There 's something true about it .
Ich bin anderer Meinung als du .,I have a different opinion than yours .,I don 't agree with you .
Er war ein wahrer Held .,He was a real hero .,He was a real hero .
Was gibt ' s noch ?,What more is there ?,What else is there ?
Ich musste auch einige Anrufe tätigen .,"I had some calls to make , too .","I had to make some calls , too ."
Du solltest wieder heiraten .,You should remarry .,You should get married again .
Er kaufte ein neues Paar Handschuhe .,He bought a new pair of gloves .,He bought a new pair of gloves .
Holz schwimmt .,Wood floats .,Wood is floating .
Wie heißt der Neue ?,What 's the new boy 's name ?,What 's the new guy 's name ?
Er brach im ersten Jahr sein Studium ab .,He dropped out of college in the first year .,He left his studies in the first year .
Fahren Sie oft nach Boston ?,Do you go to Boston often ?,You go to Boston a lot ?
Habt ihr Tom gesehen ?,Have you seen Tom ?,Have you seen Tom ?
Das ist nur ein Kollateralschaden .,That 's only collateral damage .,It 's just a collateral damage .
Ein kaltes Bier wäre jetzt genau das Richtige !,A cold beer would hit the spot !,A cold beer would be the right thing to do right now !
Sie hören nicht zu .,They don 't listen .,You 're not listening .
Öffne nicht das Fenster !,Don 't open the window !,Don 't open the window !
Ich mag Tom .,I like Tom .,I like Tom .
Das Hemd passt nicht zu der Hose .,That shirt doesn 't go with those pants .,The shirt doesn 't match the pants .
"Ich will nicht wissen , wer dich geküsst hat .",I don 't want to know who kissed you .,I don 't want to know who kissed you .
Dieser Artikel macht sich über Vegetarier lustig .,That article makes fun of vegetarians .,This article is making fun of vegetarians .
Es hat eine gute Apfelernte dieses Jahr gegeben .,There has been a good apple harvest this year .,There has been a good apple harvest this year .
Helfen Sie mir mal mit den Koffern !,Give me a hand with the suitcases .,Give me a hand with the suitcases .
Warten Sie bis morgen früh .,Wait until tomorrow morning .,Wait till tomorrow morning .
Tom wurde auf nächtlicher Straße von einem unbekannten Mann mit einem Messer bedroht und seines Geldes beraubt .,"When Tom was walking down the street at night , a man he didn 't know threatened him with a knife and robbed him of his cash .",Tom was threatened by an unknown man on the night street with a knife and robbed of his money .
Ich lerne Koreanisch .,I study Korean .,I 'm learning Korean .
Pferde mögen Anhänger nicht .,Horses don 't like trailers .,Horses don 't like followers .
Auf dem Mars gibt es einige der höchsten Vulkane und tiefsten Täler unseres Sonnensystems .,Mars has some of the tallest volcanoes and some of the deepest valleys in our solar system .,On Mars there are some of the highest volcanoes and deepest valleys of our solar system .
Dein Artikel wurde heute veröffentlicht .,Your article was published today .,Your article was published today .
"Sag Tom , er soll nach Boston kommen !",Tell Tom to come to Boston .,Tell Tom to come to Boston !
Das ist nichts Ernstes .,It 's not serious .,This is nothing serious .
Das gehört zum Geschäft .,It 's business .,It 's part of the business .
"Warum tut ihr so , als würdet ihr euch nicht erinnern ?",Why are you pretending you don 't remember ?,Why do you pretend you don 't remember ?
Tom hat seinen Gurt angelegt .,Tom fastened his seatbelt .,Tom put on his belt .
Eine Woche hat sieben Tage .,In one week there are seven days .,A week has seven days .
"Es ist nur eine Frage der Zeit , wann der Meteor aufschlägt .",It 's only a matter of time before the meteor strikes .,It 's only a matter of time when the meteor will open .
Wie interpretieren Sie dieses Gedicht ?,How do you interpret this poem ?,How do you interpret this poem ?
"Es ist ein Kind , das Fleisch isst .",It 's a child that is eating the meat .,It 's a child who eats meat .
Ruf mich um vier Uhr an . Ich muss den ersten Zug nehmen .,Call me at four ; I must take the first train .,"Call me at 4 : 00 , I have to take the first train ."
"Hoffnung ist eine gute Sache , solange sie einen nicht davon abhält , das Notwendige zu tun .",Hope is a good thing as long as it doesn 't stop someone from doing what 's necessary .,"Hope is a good thing , as long as it does not stop you from doing what is necessary ."
Sie werden wachsen .,They 'll grow .,They 're gonna grow .
Maria und ihre beste Freundin sprechen oft die Sätze des jeweils anderen zu Ende .,Mary and her best friend often finish each other 's sentences .,Mary and her best friend often end the sentences of each other .
Tom ist hier aufgewachsen .,Tom grew up here .,Tom grew up here .
"Der Ausdruck "" Bourgeois "" kann sowohl von der niederen wie auch der höheren Klasse als Vorwurf gebraucht werden .","The term "" bourgeois "" can be used as an insult by both the lower and the upper classes .","The term "" Bourgeois "" can be used by both the lower and the higher class as a reproach ."
Wann gehst du nach Rom ?,When will you leave for Rome ?,When are you going to Rome ?
"Die Hälfte des Waldes soll gerodet werden , damit dort Hotels zur Unterbringung der Touristen , die den Wald besuchen , errichtet werden können .",Half of the forest will be cut down to build hotels to accommodate the tourists who come to visit the forest .,Half of the forest is to be grubbed up so that hotels can be built there to accommodate the tourists who visit the forest .
Alter schützt vor Torheit nicht .,A beard does not make a philosopher .,Age does not protect from folly .
Ich komme euch demnächst mal besuchen .,I 'll come and visit you one of these days .,I 'll come and see you soon .
Sie sollten sich für die Zukunft bereit machen .,You should prepare for the future .,You should get ready for the future .
Sie schaute ihm direkt in die Augen .,She looked him right in the eye .,She looked right in his eyes .
Ich habe nicht viel Geld dabei .,I haven 't got much money with me .,I don 't have much money .
Das ist ein Tisch .,That 's a table .,It 's a table .
"Es wird sehr , sehr heiß sein .","It 'll be very , very hot .","It will be very , very hot ."
Geister existieren .,Ghosts exist .,Ghosts exist .
"Danke , das ist alles .","Thanks , that 's everything .","Thank you , that 's all ."
Das Stück basiert auf wahren Begebenheiten .,The play is based on true events .,The play is based on true events .
Er kündigte den nächsten Sänger an .,He announced the next singer .,He announced the next singer .
Das junge Mädchen schwieg .,The young girl remained silent .,The young girl was silent .
"Das ist deine Entscheidung , Tom .","It 's your decision , Tom .","That 's your call , Tom ."
"Ich wusste , dass du dahintersteckst !",I knew you were behind this .,I knew you were behind this !
Steh bitte auf .,"Stand up , please .","Get up , please ."
Sogar Männer weinen manchmal .,Even men sometimes cry .,Even men sometimes cry .
"Ich glaube , es wird morgen regnen .",I think tomorrow is going to rain .,I think it 's gonna rain tomorrow .
"Tom wälzte sich um 6.30 Uhr aus dem Bett , schlurfte in die Küche und steckte zwei Scheiben Brot in den Toaster .","Tom rolled out of bed at 6 : 30 , shuffled into the kitchen and put two slices of bread into the toaster .","Tom rolled out of bed at 6 : 30 , shuffled into the kitchen and put two slices of bread in the toaster ."
"Sie bat um Hilfe , doch niemand kam .","She requested help , but no one came .","She asked for help , but no one came ."
Ich machte ein Foto von meiner Familie .,I took a picture of my family .,I took a picture of my family .
Ich werde wieder heiraten .,I 'm going to get married again .,I 'm gonna get married again .
"Der Polizist war nicht im Dienst , als er erschossen wurde .",The policeman was off duty when he was shot to death .,The cop wasn 't on duty when he was shot .
Mein Freund ist völlig verrückt . Schenkt ihm keine Beachtung .,My friend is completely crazy . Don 't pay attention to him .,"My friend is completely crazy , so don 't pay any attention to him ."
Du wirst es schon noch früh genug erfahren .,You 'll know soon enough .,You 'll know soon enough .
Die Sterne schienen die ganze Zeit .,The stars shone the whole time .,The stars seemed all the time .
"Es dauert nicht mehr lange , bis wir zum Mars fliegen können .",It won 't be long before we can travel to Mars .,It won 't be long before we can fly to Mars .
Wie arrogant !,How arrogant !,How arrogant !
Hast du etwas Bargeld ?,Do you have any cash ?,Do you have any cash ?
Ich verabschiedete mich .,I said goodbye .,I said goodbye .
Ich komme morgen noch einmal her .,I 'll come here again tomorrow .,I 'll come back tomorrow .
"Der Schmerz im Nacken , den ich bekam , als ich gestern beim Zahnarzt den Kopf gerade halten musste , war schlimmer als alles , was der Zahnarzt mit meinen Zähnen anstellte .",The pain in my neck I got from holding my head straight at the dentist 's yesterday was worse than anything the dentist did to my teeth .,The pain in the neck I got when I had to keep my head straight at the dentist 's last night was worse than anything the dentist did with my teeth .
Langsam schlugen die Bäume aus .,The trees are beginning to bud .,The trees were starting to beat out .
"Eines der größten Mysterien des Lebens ist , wie eine Katze entscheidet , was als Nächstes zu tun ist .",One of the great mysteries of life is how a cat decides what to do next .,One of the greatest mysteries of life is how a cat decides what to do next .
Sie waren Angehörige des Mittelstands .,They were members of the middle class .,They were members of the middle class .
Das Land blieb während des Zweiten Weltkriegs neutral .,That country remained neutral throughout World War II .,The country remained neutral during the Second World War .
"Ich brauche einen , der mit Tom reden kann .",I need someone to talk to Tom .,I need someone to talk to Tom .
Wir gelangten durch das Fenster in das Haus .,We got into the house through the window .,We got through the window into the house .
Ein Geschenk für dich .,A gift for you .,A present for you .
Das Museum ist wegen Renovierungsarbeiten geschlossen .,The museum is closed for renovations .,The museum is closed for renovation .
